Id,Label,Colour,Tags,Title,URL,Community_Python,Degree,Betweenness,Modularity_Class_Gephi
RU2044149C1,RU2044149C1,current,similar-only,СПОСОБ РАБОТЫ КОМБИНИРОВАННОГО ДВИГАТЕЛЯ ВНЕШНЕГО СГОРАНИЯ И ДВИГАТЕЛЛЬ ВНЕШНЕГО СГОРАНИЯ Российский патент 1995 года по МПК F02G1/02,https://patenton.ru/patent/RU2044149C1,72,0.000127,0.0,55
RU2044158C1,RU2044158C1,current,similar-only,СИЛОВАЯ ИНЕРЦИОННАЯ УСТАНОВКА ТРАНСПОРТНОГО СРЕДСТВА Российский патент 1995 года по МПК F03G3/00,https://patenton.ru/patent/RU2044158C1,192,0.000127,0.0,124
RU2044164C1,RU2044164C1,current,similar-only,КОЛЕБАТЕЛЬНО-РОТОРНЫЙ ДВИГАТЕЛЬ-КОМПРЕССОР Российский патент 1995 года по МПК F04C23/02 F02B53/00,https://patenton.ru/patent/RU2044164C1,81,0.000127,0.0,42
RU2044819C1,RU2044819C1,current,similar-only,ПАРОМНОЕ ЗВЕНО Российский патент 1995 года по МПК E01D15/14 B63B35/54,https://patenton.ru/patent/RU2044819C1,114,0.000254,8.6e-05,413
RU2044827C1,RU2044827C1,current,similar-only,УСТРОЙСТВО ДЛЯ СБОРА НЕФТЕПРОДУКТОВ И ПЛАВАЮЩЕГО МУСОРА С ПОВЕРХНОСТИ ВОДОЕМА Российский патент 1995 года по МПК E02B15/04,https://patenton.ru/patent/RU2044827C1,538,0.00089,0.000503,332
RU2044858C1,RU2044858C1,current,similar-only,СПОСОБ ПАРКОВКИ АВТОМОБИЛЯ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ Российский патент 1995 года по МПК E04H6/00,https://patenton.ru/patent/RU2044858C1,200,0.000127,0.0,146
RU2044879C1,RU2044879C1,current,similar-only,ГИДРАВЛИЧЕСКИЙ МЕХАНИЗМ УДАРНОГО ДЕЙСТВИЯ Российский патент 1995 года по МПК E21C3/20,https://patenton.ru/patent/RU2044879C1,598,0.000127,0.0,609
RU2044893C1,RU2044893C1,current,similar-only,РОТОРНО-ПОРШНЕВАЯ МАШИНА Российский патент 1995 года по МПК F01C3/02 F04C3/02,https://patenton.ru/patent/RU2044893C1,37,0.000127,0.0,46
RU2044894C1,RU2044894C1,current,similar-only,УСТРОЙСТВО ДЛЯ СТАБИЛИЗАЦИИ СВОЙСТВ МАСЛА В СИСТЕМЕ СМАЗКИ ДВИГАТЕЛЯ ВНУТРЕННЕГО СГОРАНИЯ Российский патент 1995 года по МПК F01M9/02,https://patenton.ru/patent/RU2044894C1,59,0.000127,0.0,23
RU2044911C1,RU2044911C1,current,similar-only,ТЕПЛОВОЙ ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ Российский патент 1995 года по МПК F02G1/00 F02G5/00 F02C5/06 F02B47/08 F02M31/08,https://patenton.ru/patent/RU2044911C1,327,0.000127,0.0,262
RU2045440C1,RU2045440C1,current,similar-only,РАЗБОРНАЯ ЛОДКА Российский патент 1995 года по МПК B63B7/08,https://patenton.ru/patent/RU2045440C1,234,0.000127,0.0,247
